Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
117.64,116.04,115.19,117.69,116.94,115.39,115.08,115.51,112.85,46301930.0,29158640.0,46810020.0,117.52
111.43,110.78,111.6,112.47,112.03,112.2,111.39,110.07,110.27,27054320.0,28507780.0,36151450.0,111.13
160.52,157.86,157.5,160.71,159.5,157.89,157.84,156.72,155.11,27377960.0,27391950.0,26330070.0,161.94
162.62,164.12,164.0,165.42,165.73,164.33,162.41,163.37,160.63,28331540.0,27850370.0,35617230.0,165.67
255.6,246.5,240.34,262.49,248.72,245.15,252.0,239.13,236.9,49250500.0,44054640.0,41483490.0,250.74
250.74,255.6,246.5,255.52,262.49,248.72,249.4,252.0,239.13,41994110.0,49250500.0,44054640.0,252.75
173.41,174.78,175.03,175.0,175.84,176.19,173.04,173.85,174.83,22858840.0,25100510.0,21561320.0,172.23
206.43,208.39,212.0,206.98,209.48,213.97,204.22,207.32,211.51,20059570.0,19216820.0,23946880.0,210.16
355.15,351.41,354.64,355.4,353.45,356.56,351.09,349.22,345.15,28601630.0,24205100.0,66118950.0,351.46
174.35,174.55,173.16,175.61,175.06,174.3,173.93,173.41,173.0,20523870.0,21532200.0,23751690.0,173.44
159.87,158.99,158.47,159.96,159.4,160.97,157.91,158.09,158.0,44866280.0,23637310.0,48846060.0,162.61
204.4,203.06,209.88,205.97,203.4,215.31,203.86,199.11,209.23,22010360.0,45751160.0,64827330.0,204.9
109.81,109.72,110.12,110.35,110.54,111.99,108.83,109.66,110.01,27623150.0,28310840.0,29164190.0,106.7
112.03,110.15,110.23,114.53,111.88,112.34,112.0,107.36,109.13,56111590.0,76562170.0,61681250.0,112.17
97.96,96.2,98.41,100.48,97.71,98.65,95.74,95.36,95.5,63000140.0,79356010.0,52960810.0,100.32
113.63,113.25,116.44,114.72,115.5,116.69,113.3,112.37,114.02,35678360.0,50061580.0,56005550.0,113.38
95.92,93.79,94.19,96.35,94.72,94.5,94.1,92.59,93.01,42288790.0,49979700.0,40323020.0,94.29
112.73,110.82,111.29,112.75,112.45,111.52,111.44,110.68,109.56,30386830.0,32970790.0,44434220.0,110.0
115.76,117.64,119.2,117.49,119.75,119.92,115.5,116.76,118.85,46559730.0,43233950.0,34135230.0,114.92
101.52,99.93,96.04,101.53,100.88,96.63,99.21,98.07,93.34,51529980.0,71937310.0,133059000.0,98.63
150.48,151.5,149.99,151.42,151.74,150.44,149.95,150.19,148.88,20859830.0,17170490.0,25111310.0,149.2
121.85,121.11,120.96,122.69,121.81,121.81,120.18,120.62,120.05,39483400.0,33009110.0,33829290.0,123.13
188.39,190.5,190.0,191.97,194.97,190.7,186.9,189.46,184.99,46271660.0,36191330.0,41626820.0,193.9
116.35,115.59,116.52,116.51,116.52,117.8,115.64,115.59,116.49,26043820.0,14244050.0,18131970.0,116.8
101.91,103.96,104.61,102.91,105.18,106.31,101.78,103.85,104.59,25058280.0,40026250.0,38236730.0,102.24
184.28,183.08,186.51,184.99,185.47,191.92,181.14,182.15,185.77,29773430.0,22526310.0,30684390.0,175.44
177.3,177.3,177.25,177.78,179.44,177.3,176.6,176.82,173.2,27052000.0,32395870.0,51368540.0,178.61
155.79,156.25,163.25,156.33,158.13,166.15,153.66,154.11,160.23,26147280.0,39914850.0,60800480.0,155.48
207.48,208.46,208.76,209.73,210.64,210.16,207.14,208.44,207.31,17618870.0,21673390.0,33935720.0,208.89
143.69,143.02,142.9,144.79,143.5,144.75,142.72,142.41,142.9,21550270.0,24110330.0,18527000.0,144.88
